index,context,target,output,domain
1,i lost one of my parents a while ago.,it is difficult for me to connect to others.,I know I am affected by my parents dying when I was very young.,out_of_domain
3,i am a woman.,i have several children.,I'm also a woman and I'm a mother.,out_of_domain
4,i am a woman.,i have several children.,"Me too, do you have any children?",out_of_domain
5,i enjoy sitting in front of the tv.,i have a lot of kids.,I like to watch tv with my kids.,out_of_domain
6,i enjoy sitting in front of the tv.,i have a lot of kids.,I like watching kids TV shows,out_of_domain
7,i enjoy sitting in front of the tv.,i have a lot of kids.,I relax watching tv when I am not tending to the kids.,out_of_domain
8,i love my pets.,i am a educator.,I work as a dog trainer.,out_of_domain
9,i love my pets.,i am a educator.,I have pets in my classroom.  I am a teacher.,out_of_domain
10,i love my pets.,i am a educator.,I used to be a pet groomer while I was a student.,out_of_domain
11,lately i have been learning how to garden.,i am a musician with a day job.,I haven't had a lot of time in the past.,out_of_domain
12,lately i have been learning how to garden.,i am a musician with a day job.,I love to garden and to play the piano.,out_of_domain
13,lately i have been learning how to garden.,i am a musician with a day job.,"I wish I had time for gardening, but I'm a musician, plus I have a day job.",out_of_domain
14,i ride in a sporty vehicle.,my father has a job on an oil rig.,I work on cars as a mechanic.,out_of_domain
15,i ride in a sporty vehicle.,my father has a job on an oil rig.,vehicles and machinery fascinate me,out_of_domain
16,i ride in a sporty vehicle.,my father has a job on an oil rig.,I have liked the idea of driving my own sports car but I would never have the money to do that.,out_of_domain
18,i have a lot of kids and pets.," diesels or gasoline , i can fix them all.",I have a rather large family that I support.  I do this by fixing diesel or gasoline engines.,out_of_domain
19,i have a lot of kids and pets.," diesels or gasoline , i can fix them all.",I work as a mechanic to support my family.,out_of_domain
20,i have a lot of kids and pets.," diesels or gasoline , i can fix them all.",My kids all went off to college so I have a lot of free time to work on my cars.,out_of_domain
22,i have a lot of kids and pets.," diesels or gasoline , i can fix them all.",My kids help me work on cars.  I can fix diesel or gas engines.,out_of_domain
23,i live in the state by colorado.,my spouse works putting out fires.,"There are alot of fires in Colorodo right now, and my husband is a firefighter.",out_of_domain
24,i live in the state by colorado.,my spouse works putting out fires.,"Oh, wow, the western states have really had a problem with wildfires this summer.",out_of_domain
25,i live in the state by colorado.,my spouse works putting out fires.,there are a lot of forest fires in colorado,out_of_domain
26,my husband and i have 4 daughters and 1 son.,i hate seeing animals in pain.,Our family adopted a dog from the streets.,out_of_domain
27,my husband and i have 4 daughters and 1 son.,i hate seeing animals in pain.,They are all depressed about our sick puppy.,out_of_domain
29,i think posting pics on facebook of my everyday life is fun.,in the future i want to drive a large vehicle.,"The larger the vehicle someone drives, the more likes they get on facebook, so I'm hoping upgrading to a large vehicle will make me more popular online.",out_of_domain
30,i think posting pics on facebook of my everyday life is fun.,in the future i want to drive a large vehicle.,I love showing my life on social media.  One day I'll show off a pic of my new big truck,out_of_domain
31,i think posting pics on facebook of my everyday life is fun.,in the future i want to drive a large vehicle.,I post pictures of my car on Facebook.,out_of_domain
32,i like to go to the park.,i am stuck in a wheel chair.,The park is fun.  Being in a wheel chair makes me want to visit more parks with wide paths.,out_of_domain
34,i like to go to the park.,i am stuck in a wheel chair.,i wish i could go too. i'm immobile in a wheelchair...,out_of_domain
35,i have a passion for politics.,i work at a candy store.,But right now I just work,out_of_domain
37,i love my girlfriend.,i dyed my hair pink.,I wanted to do something special for her and I know that she likes pink hair.,out_of_domain
38,i enjoy peaceful sitting.,i avoid eating broccoli.,Sitting and just eating or drinking sometimes is the way to go in life.,out_of_domain
39,i enjoy peaceful sitting.,i avoid eating broccoli.,I don't like foods that give me gas as it ruins the peace.,out_of_domain
40,i enjoy peaceful sitting.,i avoid eating broccoli.,"For some reason eating broccoli always makes me anxious, and prevents me from feeling peaceful and relaxing.",out_of_domain
41,i dropped out of college a month ago.,i like basketball.,I love to watch birds.,out_of_domain
42,i dropped out of college a month ago.,i like basketball.,"That stinks, I'm sorry. I just got in on a basketball scholarship.",out_of_domain
43,i dropped out of college a month ago.,i like basketball.,"I dropped out of college a month ago and I'm not sure what I'm going to do with my life, but I'll probably pursue an athletic career because I like basketball.",out_of_domain
44,i volunteer at an animal shelter.,my child is now an adult.,I used to work at a shelter when my son was younger.  He's an adult now.,out_of_domain
45,i volunteer at an animal shelter.,my child is now an adult.,Now that my child is older I have more time for volunteering.,out_of_domain
46,i volunteer at an animal shelter.,my child is now an adult.,"I've always wanted to do this kind of work, but was busy being a mom. But I have more time now because",out_of_domain
49,i am a great cook.,i have a daughter.,I met my wife working at the restaurant. We married and had a child.,out_of_domain
50,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.,"I wish I could do either of those things, but I do have other hobbies at least.",out_of_domain
51,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.,Usually I bring my dogs along with me.,out_of_domain
52,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.,"We leave our felines and mutts home alone together when we went out skiing on the slopes, so if they don't get long the house will get destroyed.",out_of_domain
53,i am in college now and want to be a teacher.,i love fishing.,My teacher taught me how to fish.  I really love fishing.,out_of_domain
54,i am a ballet dancer.,my favorite food is hamburgers.,"But I can only eat hamburgers when I'm not preparing for my dance classes, since I need to stay in shape when I'm dancing.",out_of_domain
55,i am a ballet dancer.,my favorite food is hamburgers.,I burn off the hamburgers by dancing ballet.,out_of_domain
57,i have one pet.,my parents are very interesting.,My parents like to travel a lot so we don't want to have too many pets.,out_of_domain
58,i have one pet.,my parents are very interesting.,The most interesting thing about my parents is they have only one really exotic pet called a capybara.,out_of_domain
59,i have one pet.,my parents are very interesting.,My only pet is cool.  It is a snake my parents got me on their trip to Brazil.,out_of_domain
60,reality programs with music and liveliness gets my heart racing.,i have a kitten with a sci fi name.,I am more into sci-fi myself.,out_of_domain
61,reality programs with music and liveliness gets my heart racing.,i have a kitten with a sci fi name.,I watch shows with pets.,out_of_domain
62,reality programs with music and liveliness gets my heart racing.,i have a kitten with a sci fi name.,I am more into science fictions programs.,out_of_domain
63,i enjoy simple but filling foods.,my favorite novel is about a who realizes he is a commander.,I eat while I read.,out_of_domain
64,i enjoy simple but filling foods.,my favorite novel is about a who realizes he is a commander.,"I always eat when I'm reading novels, and my favorite snacks are simple foods.",out_of_domain
65,i enjoy simple but filling foods.,my favorite novel is about a who realizes he is a commander.,"I don't spend much time thinking about food, just whatever is quick so I can get back to my book.",out_of_domain
66,i like long walks on the beach.,my dad was a preacher.,My dad is a preacher and he used to certify weddings on the beach.,out_of_domain
67,i am a woman.,i own my own small marketing consulting agency.,"I am also a woman, and I work in advertising. What do you do?",out_of_domain
68,i am a woman.,i own my own small marketing consulting agency.,I know a lot of women who run their own businesses.,out_of_domain
69,i drive for work.,i am a driver for a local bakery.,I drive a small truck.,out_of_domain
70,i drive for work.,i am a driver for a local bakery.,"Because I drive so much for work, I refuse to drive anywhere on my time off, whether it's to the store or shopping.",out_of_domain
71,i drive for work.,i am a driver for a local bakery.,I drive so much to get to work.  All that driving made me decide to handle deliveries for my bakery job since I know the area.,out_of_domain
73,i curate art.,i work in a lawyers firm.,I have a second job.,out_of_domain
74,i curate art.,i work in a lawyers firm.,I have to buy an art piece for the lawyers firm that I work for.,out_of_domain
75,i like to listen to country music.,i can play piano.,I like to play my own music.,out_of_domain
76,i like to listen to country music.,i can play piano.,I like to play country songs on my piano.,out_of_domain
77,i like to listen to country music.,i can play piano.,"I prefer classical music, and play it on the piano",out_of_domain
78,i have a job in a supermarket.,my spouse runs a car fixing business.,"I don't work, but my spouse fixes cars for a living.",out_of_domain
79,i have a job in a supermarket.,my spouse runs a car fixing business.,My husband is looking for a new job.,out_of_domain
82,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.,"I like going to the beach and sitting in the sand, too, especially with my friends. Celebrating with my friends at the beach is always so much fun.",out_of_domain
83,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.,Having bonfires on the beach in the summer is one of my favorite activities.,out_of_domain
84,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.,I love going to the beach with friends.,out_of_domain
86,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.,"Last birthday I went with my friends to celebrate at the ocean, where we ran around the sand all day.",out_of_domain
87,i have three great dogs.,my career is very important to me.,They help me when I'm stressed which is a lot because,out_of_domain
88,i have three great dogs.,my career is very important to me.,I love my dogs.  I work hard at my job to support my animals.,out_of_domain
89,i have three great dogs.,my career is very important to me.,Luckily I am able to take my dogs with me to work.,out_of_domain
90,i hate cleaning.,i like books about trains.,I'd rather just spend my free time reading.,out_of_domain
91,i hate cleaning.,i like books about trains.,I dislike cleaning as well and I would prefer to sit and read.,out_of_domain
92,i hate cleaning.,i like books about trains.,I abhor cleaning but love to read about trains.,out_of_domain
93,i love my dog.,i am still in school.,I wish I could spend more time with him.,out_of_domain
94,i love my dog.,i am still in school.,I am a vet.,out_of_domain
95,i love my dog.,i am still in school.,When I was in college I took in one of my classmate's dog but it ran away.,out_of_domain
96,i like football.,my favourite band is kings of leon.,"My favorite football team if from Tennessee, the Titans!  Do you like other things from Tennessee, like the band Kings of Leon?",out_of_domain
97,i like football.,my favourite band is kings of leon.,"When i go to the games, sometimes there is a live band performing at halftime.",out_of_domain
98,i like football.,my favourite band is kings of leon.,I used to listen to Kings of Leon when I was working out for football practice.  They are my favorite band.,out_of_domain
99,i hate seeing animals in pain.,i try to keep active.,I joined Green Peace.,out_of_domain
100,i hate seeing animals in pain.,i try to keep active.,I volunteer at an animal shelter when I have free time.,out_of_domain
101,i hate seeing animals in pain.,i try to keep active.,I don't like suffering at all.  That's why I stay active.,out_of_domain
102,being a determined lady gets me far in life.,my job involves saving lives.,I don't think I could do my line of work if I didn't have determination.,out_of_domain
103,being a determined lady gets me far in life.,my job involves saving lives.,"I agree, it's a quality I value very much. I have to, in my profession as a caregiver.",out_of_domain
